faixa;timestamp;velocidade;comprimento
0;2016-08-12 00:01:16;57.7;14
0;2016-08-12 00:02:17;58.7;13.7
0;2016-08-12 00:03:35;57.1;14
0;2016-08-12 00:03:52;57.1;11.9
0;2016-08-12 00:04:30;58.3;14.1
0;2016-08-12 00:05:21;59.6;13.1
0;2016-08-12 00:05:48;59.8;17.5
0;2016-08-12 00:06:56;57.8;15.8
0;2016-08-12 00:07:32;57.7;15.5
0;2016-08-12 00:08:25;57.5;5
0;2016-08-12 00:08:41;56.8;11.3
0;2016-08-12 00:08:56;59.9;3.4
0;2016-08-12 00:09:13;59.4;19.8
0;2016-08-12 00:09:23;59.4;11.6
0;2016-08-12 00:09:45;58.6;3.9
0;2016-08-12 00:09:50;59.6;13.2
0;2016-08-12 00:10:56;59.9;13.5
0;2016-08-12 00:11:10;59.4;8.4
0;2016-08-12 00:11:52;59.8;12.3
0;2016-08-12 00:12:00;58.3;5.7
0;2016-08-12 00:13:45;57.6;5.2
0;2016-08-12 00:14:15;57.5;12
0;2016-08-12 00:14:26;58.8;6.6
0;2016-08-12 00:15:59;59;18.4
0;2016-08-12 00:16:48;58.9;12.8
0;2016-08-12 00:18:00;58.1;6.5
0;2016-08-12 00:19:31;58.4;18.4
0;2016-08-12 00:20:06;56.4;2.1
0;2016-08-12 00:21:10;58.6;14.6
0;2016-08-12 00:21:28;59.4;8.4
0;2016-08-12 00:21:30;56.3;1.9
0;2016-08-12 00:21:40;56.5;14.6
0;2016-08-12 00:24:00;56.6;14.7
0;2016-08-12 00:24:04;58;9.5
0;2016-08-12 00:25:10;58;8.8
0;2016-08-12 00:25:28;59.6;3.4
0;2016-08-12 00:25:39;59.3;19.5
0;2016-08-12 00:26:22;59.9;15.9
0;2016-08-12 00:26:34;56.5;13.1
0;2016-08-12 00:26:54;58.9;11.4
0;2016-08-12 00:27:26;58.5;18
0;2016-08-12 00:28:08;58.8;15.6
0;2016-08-12 00:29:27;56.7;1.9
0;2016-08-12 00:29:36;58.5;4.5
0;2016-08-12 00:30:59;59.1;11.4
0;2016-08-12 00:31:24;56.6;5.8
0;2016-08-12 00:33:00;59.7;4.6
0;2016-08-12 00:33:05;57.6;17.9
0;2016-08-12 00:33:42;58.4;5.4
0;2016-08-12 00:33:45;56.8;14.6
0;2016-08-12 00:34:24;58.2;7.2
0;2016-08-12 00:34:36;57.8;1.7
0;2016-08-12 00:35:26;59.1;5.9
0;2016-08-12 00:35:40;59.1;9.1
0;2016-08-12 00:36:56;57.7;15
0;2016-08-12 00:38:02;58.9;13.3
0;2016-08-12 00:38:25;59.3;7.7
0;2016-08-12 00:39:54;58.3;12.8
0;2016-08-12 00:42:04;56.6;7.7
0;2016-08-12 00:42:34;58.8;19.4
0;2016-08-12 00:43:20;59.5;9.5
0;2016-08-12 00:44:40;59.9;2
0;2016-08-12 00:44:57;58.5;16.8
0;2016-08-12 00:45:20;59.7;13.2
0;2016-08-12 00:46:32;57.7;5.5
0;2016-08-12 00:48:36;56;2.1
0;2016-08-12 00:49:06;56.7;6.6
0;2016-08-12 00:49:21;56.5;3.9
0;2016-08-12 00:49:45;59.5;11.1
0;2016-08-12 00:49:50;59.5;15
0;2016-08-12 00:50:51;57.9;17.6
0;2016-08-12 00:52:20;57.3;9.5
0;2016-08-12 00:52:38;58;15
0;2016-08-12 00:53:25;57.6;5.2
0;2016-08-12 00:53:40;58.9;10.5
0;2016-08-12 00:54:10;57.7;6.6
0;2016-08-12 00:54:19;57;4
0;2016-08-12 00:56:12;56.9;10.2
0;2016-08-12 00:56:34;58.4;14.9
0;2016-08-12 00:56:45;58;9.5
0;2016-08-12 00:57:48;56.7;11.6
0;2016-08-12 00:57:56;58.6;20
0;2016-08-12 00:59:38;56.8;14.4
0;2016-08-12 01:00:58;58.6;8.3
0;2016-08-12 01:02:15;58.8;10
0;2016-08-12 01:02:20;57.6;5.8
0;2016-08-12 01:03:28;58.6;7
0;2016-08-12 01:04:08;56.5;12.8
0;2016-08-12 01:04:45;59.8;4.4
0;2016-08-12 01:04:57;57.3;3.3
0;2016-08-12 01:05:39;60;14.2
0;2016-08-12 01:06:01;57.4;15.3
0;2016-08-12 01:06:12;58.8;15.6
0;2016-08-12 01:06:20;58.7;11
0;2016-08-12 01:06:39;58.6;19.1
0;2016-08-12 01:06:54;58.8;2.5
0;2016-08-12 01:09:23;57.1;6.9
0;2016-08-12 01:09:37;57.4;6.7
0;2016-08-12 01:11:33;59.4;12.3
0;2016-08-12 01:15:16;57.4;8.6
0;2016-08-12 01:15:55;59.7;14.3
0;2016-08-12 01:17:29;58.9;6.5
0;2016-08-12 01:18:36;59.4;6.7
0;2016-08-12 01:20:48;57.7;19.9
0;2016-08-12 01:21:06;57.7;7.2
0;2016-08-12 01:22:38;57.4;12
0;2016-08-12 01:25:27;57.7;8.5
0;2016-08-12 01:28:05;57.7;14.1
0;2016-08-12 01:28:24;58.3;10.4
0;2016-08-12 01:28:57;59.7;5.9
0;2016-08-12 01:30:55;57.6;11.9
0;2016-08-12 01:31:06;58.2;3.4
0;2016-08-12 01:31:52;58.9;3.2
0;2016-08-12 01:32:35;59.9;5.7
0;2016-08-12 01:33:28;58;19.8
0;2016-08-12 01:36:06;59;19.9
0;2016-08-12 01:38:02;56.9;11.4
0;2016-08-12 01:40:45;59.1;7.4
0;2016-08-12 01:41:53;56.6;11.5
0;2016-08-12 01:42:12;56.8;5.2
0;2016-08-12 01:45:46;58.5;11.3
0;2016-08-12 01:48:16;58;17
0;2016-08-12 01:53:20;59.9;7.3
0;2016-08-12 01:54:57;57.2;5.5
0;2016-08-12 01:56:20;58;6.2
0;2016-08-12 01:57:22;57.3;19.8
0;2016-08-12 02:02:04;58.8;8.5
0;2016-08-12 02:02:12;59.6;4
0;2016-08-12 02:05:03;58.2;8.6
0;2016-08-12 02:11:29;56.7;3.7
0;2016-08-12 02:12:46;58;13.9
0;2016-08-12 02:16:40;58;17.8
0;2016-08-12 02:18:04;58.9;9.9
0;2016-08-12 02:20:23;57.6;16.1
0;2016-08-12 02:24:56;58.4;10
0;2016-08-12 02:31:30;59.3;14.9
0;2016-08-12 02:32:07;59.4;3.6
0;2016-08-12 02:32:18;59.9;10.4
0;2016-08-12 02:33:07;56.8;10.9
0;2016-08-12 02:33:23;57.1;6.4
0;2016-08-12 02:35:47;56.6;9.7
0;2016-08-12 02:40:00;58.4;8.9
0;2016-08-12 02:40:50;57.7;9
0;2016-08-12 02:41:08;57.5;16
0;2016-08-12 02:41:49;58.7;20
0;2016-08-12 02:41:55;59.4;2.4
0;2016-08-12 02:42:35;56.5;4.1
0;2016-08-12 02:44:35;59.7;5.2
0;2016-08-12 02:45:22;57.3;19.3
0;2016-08-12 02:45:53;58.9;7.4
0;2016-08-12 02:46:59;56.9;11.4
0;2016-08-12 02:47:11;59.1;8.5
