faixa;timestamp;velocidade;comprimento
0;2016-08-12 00:00:57;89.9;8.7
0;2016-08-12 00:01:29;97.8;4.8
0;2016-08-12 00:01:34;96.6;4.3
0;2016-08-12 00:01:38;98.5;3.7
0;2016-08-12 00:01:44;97.3;4.1
0;2016-08-12 00:01:48;99.5;5.3
0;2016-08-12 00:01:50;98.6;5.0
0;2016-08-12 00:02:19;98.9;4.0
0;2016-08-12 00:02:26;97.8;6.7
0;2016-08-12 00:02:32;87.8;13.6
0;2016-08-12 00:02:51;97.3;5.8
0;2016-08-12 00:03:03;99.3;5.4
0;2016-08-12 00:03:10;89.5;8.2
0;2016-08-12 00:03:34;89.3;10.0
0;2016-08-12 00:04:01;89.7;11.6
0;2016-08-12 00:04:24;83.7;20.0
0;2016-08-12 00:04:58;99.8;6.7
0;2016-08-12 00:05:25;97.1;5.1
0;2016-08-12 00:05:38;87.0;14.6
0;2016-08-12 00:05:56;94.9;2.3
0;2016-08-12 00:06:01;98.0;6.5
0;2016-08-12 00:06:08;84.9;17.9
0;2016-08-12 00:06:14;99.5;5.6
0;2016-08-12 00:06:34;97.9;4.6
0;2016-08-12 00:07:15;98.5;1.4
0;2016-08-12 00:07:21;89.5;11.8
0;2016-08-12 00:07:39;89.2;11.0
0;2016-08-12 00:07:49;82.6;17.0
0;2016-08-12 00:08:15;95.0;2.9
0;2016-08-12 00:08:17;97.8;5.3
0;2016-08-12 00:08:39;99.1;2.1
0;2016-08-12 00:08:46;89.5;9.6
0;2016-08-12 00:09:08;97.2;6.8
0;2016-08-12 00:09:50;88.7;7.1
0;2016-08-12 00:09:54;83.8;18.6
0;2016-08-12 00:10:24;100.0;4.6
0;2016-08-12 00:10:26;97.8;4.4
0;2016-08-12 00:10:32;87.9;12.8
0;2016-08-12 00:10:47;86.7;9.5
0;2016-08-12 00:10:49;93.0;1.0
0;2016-08-12 00:10:58;97.5;4.5
0;2016-08-12 00:11:09;98.7;3.1
0;2016-08-12 00:11:22;95.9;2.3
0;2016-08-12 00:11:26;96.6;6.1
0;2016-08-12 00:11:32;89.0;13.0
0;2016-08-12 00:11:42;96.7;3.6
0;2016-08-12 00:11:58;97.2;2.9
0;2016-08-12 00:12:06;95.9;2.3
0;2016-08-12 00:12:10;84.0;15.8
0;2016-08-12 00:12:38;96.6;6.2
0;2016-08-12 00:12:55;88.6;14.7
0;2016-08-12 00:14:30;97.8;5.2
0;2016-08-12 00:14:35;83.2;15.2
0;2016-08-12 00:15:18;89.3;11.5
0;2016-08-12 00:15:21;99.0;2.6
0;2016-08-12 00:15:31;96.9;6.1
0;2016-08-12 00:15:55;99.5;1.5
0;2016-08-12 00:15:59;100.0;3.1
0;2016-08-12 00:16:22;82.9;20.0
0;2016-08-12 00:16:28;97.0;1.7
0;2016-08-12 00:16:31;86.5;8.9
0;2016-08-12 00:16:46;96.8;2.7
0;2016-08-12 00:16:53;97.2;3.1
0;2016-08-12 00:17:17;95.9;2.2
0;2016-08-12 00:17:41;96.8;4.6
0;2016-08-12 00:17:48;99.1;6.6
0;2016-08-12 00:17:58;100.0;5.4
0;2016-08-12 00:18:07;84.8;17.5
0;2016-08-12 00:18:10;97.9;6.2
0;2016-08-12 00:18:21;99.6;5.3
0;2016-08-12 00:18:35;87.9;12.8
0;2016-08-12 00:18:42;97.8;4.6
0;2016-08-12 00:18:58;99.9;6.1
0;2016-08-12 00:19:12;99.0;5.2
0;2016-08-12 00:19:48;99.0;3.5
0;2016-08-12 00:19:50;87.7;9.6
0;2016-08-12 00:20:08;87.1;10.6
0;2016-08-12 00:20:13;98.8;1.3
0;2016-08-12 00:20:18;99.1;1.3
0;2016-08-12 00:20:20;88.1;10.4
0;2016-08-12 00:21:04;87.2;10.4
0;2016-08-12 00:21:29;99.8;5.0
0;2016-08-12 00:21:38;96.6;2.1
0;2016-08-12 00:22:09;96.7;6.9
0;2016-08-12 00:22:29;87.6;9.9
0;2016-08-12 00:22:37;86.9;14.0
0;2016-08-12 00:22:40;86.9;7.6
0;2016-08-12 00:22:44;87.6;7.2
0;2016-08-12 00:22:49;97.3;4.4
0;2016-08-12 00:23:12;98.0;5.3
0;2016-08-12 00:23:36;82.8;16.3
0;2016-08-12 00:23:48;89.9;8.6
0;2016-08-12 00:23:59;99.4;6.6
0;2016-08-12 00:24:42;98.7;5.8
0;2016-08-12 00:24:49;99.3;2.7
0;2016-08-12 00:24:51;95.3;2.3
0;2016-08-12 00:24:58;83.8;18.4
0;2016-08-12 00:25:02;99.1;5.0
0;2016-08-12 00:25:04;99.9;6.1
0;2016-08-12 00:25:08;98.9;1.7
0;2016-08-12 00:25:13;99.6;5.8
0;2016-08-12 00:25:23;88.5;8.7
0;2016-08-12 00:25:29;97.2;1.3
0;2016-08-12 00:25:34;89.9;14.0
0;2016-08-12 00:25:54;96.9;4.2
0;2016-08-12 00:26:02;83.6;19.6
0;2016-08-12 00:26:08;99.3;6.8
0;2016-08-12 00:26:17;89.6;12.8
0;2016-08-12 00:26:34;98.2;5.6
0;2016-08-12 00:26:44;83.7;16.5
0;2016-08-12 00:26:57;88.3;9.9
0;2016-08-12 00:27:07;99.8;2.6
0;2016-08-12 00:27:18;87.2;14.3
0;2016-08-12 00:27:29;96.5;5.2
0;2016-08-12 00:28:06;98.8;5.9
0;2016-08-12 00:28:12;96.8;3.6
0;2016-08-12 00:29:24;82.8;16.3
0;2016-08-12 00:29:34;99.3;3.1
0;2016-08-12 00:29:51;89.9;9.4
0;2016-08-12 00:29:59;99.7;6.2
0;2016-08-12 00:30:41;98.8;5.0
0;2016-08-12 00:31:34;99.4;2.7
0;2016-08-12 00:31:41;84.5;18.5
0;2016-08-12 00:31:54;99.1;3.9
0;2016-08-12 00:32:01;98.1;5.5
0;2016-08-12 00:32:19;89.2;13.4
0;2016-08-12 00:32:25;86.7;8.4
0;2016-08-12 00:32:28;97.1;3.0
0;2016-08-12 00:32:40;100.0;5.2
0;2016-08-12 00:32:57;98.3;5.0
0;2016-08-12 00:32:59;98.8;5.3
0;2016-08-12 00:33:05;89.7;9.0
0;2016-08-12 00:33:08;86.7;12.9
0;2016-08-12 00:33:10;83.7;15.6
0;2016-08-12 00:33:12;83.4;2.8
0;2016-08-12 00:33:16;98.0;4.9
0;2016-08-12 00:33:23;91.4;1.2
0;2016-08-12 00:33:28;97.5;1.1
0;2016-08-12 00:33:48;97.4;6.6
0;2016-08-12 00:33:53;98.0;6.3
0;2016-08-12 00:34:00;83.0;17.8
0;2016-08-12 00:34:05;98.5;6.5
0;2016-08-12 00:34:20;87.9;11.7
0;2016-08-12 00:34:25;99.3;1.4
0;2016-08-12 00:34:53;98.1;3.8
0;2016-08-12 00:35:29;98.5;6.5
0;2016-08-12 00:35:32;84.7;17.7
0;2016-08-12 00:36:22;98.9;6.6
0;2016-08-12 00:36:30;97.7;2.3
0;2016-08-12 00:37:03;98.1;6.1
0;2016-08-12 00:37:05;89.7;8.0
0;2016-08-12 00:37:30;98.4;6.8
0;2016-08-12 00:37:48;87.9;12.5
0;2016-08-12 00:38:06;97.2;4.3
0;2016-08-12 00:38:18;94.9;2.4
0;2016-08-12 00:38:27;83.7;18.0
0;2016-08-12 00:38:34;88.3;13.0
0;2016-08-12 00:38:43;98.6;3.7
0;2016-08-12 00:38:45;99.4;5.5
0;2016-08-12 00:39:06;95.4;1.9
0;2016-08-12 00:39:24;99.3;4.8
0;2016-08-12 00:39:48;97.8;3.9
0;2016-08-12 00:40:06;88.8;10.9
0;2016-08-12 00:40:19;97.5;3.3
0;2016-08-12 00:40:24;96.7;3.7
0;2016-08-12 00:40:35;88.8;12.4
0;2016-08-12 00:40:40;99.5;5.0
0;2016-08-12 00:40:46;97.3;2.5
0;2016-08-12 00:40:59;97.8;2.4
0;2016-08-12 00:41:10;84.2;18.8
0;2016-08-12 00:41:22;99.6;3.6
0;2016-08-12 00:41:28;98.5;3.8
0;2016-08-12 00:41:30;97.5;6.1
0;2016-08-12 00:41:48;99.0;5.4
0;2016-08-12 00:41:58;99.7;5.9
0;2016-08-12 00:42:00;88.6;10.9
0;2016-08-12 00:42:04;98.2;2.7
0;2016-08-12 00:42:36;100.0;1.4
0;2016-08-12 00:43:12;83.7;15.9
