shapeid,partid,x,y,gid,id,zona,nome_zona
"0",,-48.5712712774,-27.5963326637,"1",1.000000000000000,"11001",Estreito
"1",,-48.5737030904,-27.5937176678,"2",2.000000000000000,"11002",Estreito (Forte São João do Estreito)
"2",,-48.5792401266,-27.5922468861,"3",3.000000000000000,"11003",Estreito (Batalhão de Infantaria)
"3",,-48.580581916,-27.5878857866,"4",4.000000000000000,"11004",Estreito / Canto
"4",,-48.5823034949,-27.5799974214,"5",5.000000000000000,"11005",Balneário
"5",,-48.5890560946,-27.5817450173,"6",6.000000000000000,"11006",Jardim Atlântico I
"6",,-48.5853210737,-27.584858417,"7",7.000000000000000,"11007",Canto (Estádio Orlando Scarpelli)
"7",,-48.5925354699,-27.5838741473,"8",8.000000000000000,"11008",Jardim Atlântico II
"8",,-48.5933306667,-27.5891170455,"9",9.000000000000000,"11009",Coloninha
"9",,-48.5875206147,-27.5894447889,"10",10.000000000000000,"11010",Canto / Coloninha
"10",,-48.5974206359,-27.5757549261999,"11",11.000000000000000,"11011",Jardim Atlântico (Orla) I
"11",,-48.5921114994,-27.5783999732,"12",12.000000000000000,"11012",Jardim Atlântico (Orla) II
"12",,-48.5985138426,-27.5801781961999,"13",13.000000000000000,"11013",Jardim Atlântico III
"13",,-48.5995737994,-27.5853194478,"14",14.000000000000000,"11014",Jardim Atlântico IV
"14",,-48.5735094862,-27.6005947652,"15",15.000000000000000,"11015",Coqueiros (Orla Institucional)
"15",,-48.5791615241,-27.6036383504,"16",16.000000000000000,"11016",Coqueiros
"16",,-48.5778179171,-27.6078191565,"17",17.000000000000000,"11017",Coqueiros (Orla)
"17",,-48.5881220697,-27.60623887379,"18",18.000000000000000,"11018",Coqueiros / Abraão
"18",,-48.5867291265,-27.6126697891,"19",19.000000000000000,"11019",Coqueiros / Itaguaçu
"19",,-48.5941792154,-27.6125838882,"20",20.000000000000000,"11020",Abraão / Bom Abrigo / Itaguaçu
"20",,-48.5963986559,-27.6043998930999,"21",21.000000000000000,"11021",Abraão
"21",,-48.6032331899,-27.5980803637,"22",22.000000000000000,"11022",Capoeiras I
"22",,-48.6017208965,-27.5893585033,"23",23.000000000000000,"11023",Monte Cristo I
"23",,-48.6003639423,-27.5925254808,"24",24.000000000000000,"11024",Monte Cristo II
"24",,-48.5968275759,-27.5962553761,"25",25.000000000000000,"11025",Capoeiras II
"25",,-48.5962046028,-27.6010728402,"26",26.000000000000000,"11026",Capoeiras (Institucional) I
"26",,-48.5892607678,-27.6004505888999,"27",27.000000000000000,"11027",Capoeiras III
"27",,-48.587812713,-27.5950436008,"28",28.000000000000000,"11028",Capoeiras IV
"28",,-48.5821873473,-27.5984196756,"29",29.000000000000000,"11029",Capoeiras V
"29",,-48.579288305,-27.5966240783,"30",30.000000000000000,"11030",Capoeiras (Institucional) II
"30",,-48.5792809445,-27.6003908749,"31",31.000000000000000,"11031",Capoeiras VI
"31",,-48.5532436414,-27.5864432137,"32",32.000000000000000,"11032",Centro (Av Beira Mar)
"32",,-48.5597431325,-27.5898101454,"33",33.000000000000000,"11033",Centro (Orla Beira Mar Norte) I
"33",,-48.555674848,-27.5881919513,"34",34.000000000000000,"11034",Centro (Orla Beira Mar Norte) II
"34",,-48.5494608463,-27.5875791837,"35",35.000000000000000,"11035",Centro (Brig Infantaria Motorizada)
"35",,-48.5453144152,-27.5857931602,"36",36.000000000000000,"11036",Centro (Beiramar Shopping)
"36",,-48.5448973793,-27.5899062254,"37",37.000000000000000,"11037",Centro (Lado Oeste Av Mauro Ramos) I
"37",,-48.5501533886,-27.5904013845,"38",38.000000000000000,"11038",Centro (Lado Norte - Av Rio Branco) I
"38",,-48.5552992851,-27.5896541567,"39",39.000000000000000,"11039",Centro (Colégio Catarinense)
"39",,-48.5552762253,-27.5914857313,"40",40.000000000000000,"11040",Centro (Lado Norte - Av Rio Branco) II
"40",,-48.5576764988,-27.5907756738,"41",41.000000000000000,"11041",Centro (Orla Beira Mar Norte) III
"41",,-48.559128414,-27.5913727054,"42",42.000000000000000,"11042",Centro (Orla Beira Mar Norte) IV
"42",,-48.5613704799,-27.5927627351,"43",43.000000000000000,"11043",Centro (Parque da Luz)
"43",,-48.5579797878,-27.5943023277,"44",44.000000000000000,"11044",Centro (Lado Sul - Av Rio Branco) I
"44",,-48.5540441525,-27.5930859341,"45",45.000000000000000,"11045",Centro (Lado Sul - Av Rio Branco) II
