shapeid;partid;x;y;gid;id;zona;nome_zona
0;;-485.712.712.774;-275.963.326.637;1;1.000.000.000.000.000;11001;Estreito
1;;-485.737.030.904;-275.937.176.678;2;2.000.000.000.000.000;11002;Estreito (Forte São João do Estreito)
2;;-485.792.401.266;-275.922.468.861;3;3.000.000.000.000.000;11003;Estreito (Batalhão de Infantaria)
3;;-48.580.581.916;-275.878.857.866;4;4.000.000.000.000.000;11004;Estreito / Canto
4;;-485.823.034.949;-275.799.974.214;5;5.000.000.000.000.000;11005;Balneário
5;;-485.890.560.946;-275.817.450.173;6;6.000.000.000.000.000;11006;Jardim Atlântico I
6;;-485.853.210.737;-27.584.858.417;7;7.000.000.000.000.000;11007;Canto (Estádio Orlando Scarpelli)
7;;-485.925.354.699;-275.838.741.473;8;8.000.000.000.000.000;11008;Jardim Atlântico II
8;;-485.933.306.667;-275.891.170.455;9;9.000.000.000.000.000;11009;Coloninha
9;;-485.875.206.147;-275.894.447.889;10;10.000.000.000.000.000;11010;Canto / Coloninha
10;;-485.974.206.359;-275.757.549.261.999;11;11.000.000.000.000.000;11011;Jardim Atlântico (Orla) I
11;;-485.921.114.994;-275.783.999.732;12;12.000.000.000.000.000;11012;Jardim Atlântico (Orla) II
12;;-485.985.138.426;-275.801.781.961.999;13;13.000.000.000.000.000;11013;Jardim Atlântico III
13;;-485.995.737.994;-275.853.194.478;14;14.000.000.000.000.000;11014;Jardim Atlântico IV
14;;-485.735.094.862;-276.005.947.652;15;15.000.000.000.000.000;11015;Coqueiros (Orla Institucional)
15;;-485.791.615.241;-276.036.383.504;16;16.000.000.000.000.000;11016;Coqueiros
16;;-485.778.179.171;-276.078.191.565;17;17.000.000.000.000.000;11017;Coqueiros (Orla)
17;;-485.881.220.697;-2.760.623.887.379;18;18.000.000.000.000.000;11018;Coqueiros / Abraão
18;;-485.867.291.265;-276.126.697.891;19;19.000.000.000.000.000;11019;Coqueiros / Itaguaçu
19;;-485.941.792.154;-276.125.838.882;20;20.000.000.000.000.000;11020;Abraão / Bom Abrigo / Itaguaçu
20;;-485.963.986.559;-276.043.998.930.999;21;21.000.000.000.000.000;11021;Abraão
21;;-486.032.331.899;-275.980.803.637;22;22.000.000.000.000.000;11022;Capoeiras I
22;;-486.017.208.965;-275.893.585.033;23;23.000.000.000.000.000;11023;Monte Cristo I
23;;-486.003.639.423;-275.925.254.808;24;24.000.000.000.000.000;11024;Monte Cristo II
24;;-485.968.275.759;-275.962.553.761;25;25.000.000.000.000.000;11025;Capoeiras II
25;;-485.962.046.028;-276.010.728.402;26;26.000.000.000.000.000;11026;Capoeiras (Institucional) I
26;;-485.892.607.678;-276.004.505.888.999;27;27.000.000.000.000.000;11027;Capoeiras III
27;;-48.587.812.713;-275.950.436.008;28;28.000.000.000.000.000;11028;Capoeiras IV
28;;-485.821.873.473;-275.984.196.756;29;29.000.000.000.000.000;11029;Capoeiras V
29;;-48.579.288.305;-275.966.240.783;30;30.000.000.000.000.000;11030;Capoeiras (Institucional) II
30;;-485.792.809.445;-276.003.908.749;31;31.000.000.000.000.000;11031;Capoeiras VI
31;;-485.532.436.414;-275.864.432.137;32;32.000.000.000.000.000;11032;Centro (Av Beira Mar)
32;;-485.597.431.325;-275.898.101.454;33;33.000.000.000.000.000;11033;Centro (Orla Beira Mar Norte) I
33;;-48.555.674.848;-275.881.919.513;34;34.000.000.000.000.000;11034;Centro (Orla Beira Mar Norte) II
34;;-485.494.608.463;-275.875.791.837;35;35.000.000.000.000.000;11035;Centro (Brig Infantaria Motorizada)
35;;-485.453.144.152;-275.857.931.602;36;36.000.000.000.000.000;11036;Centro (Beiramar Shopping)
36;;-485.448.973.793;-275.899.062.254;37;37.000.000.000.000.000;11037;Centro (Lado Oeste Av Mauro Ramos) I
37;;-485.501.533.886;-275.904.013.845;38;38.000.000.000.000.000;11038;Centro (Lado Norte - Av Rio Branco) I
38;;-485.552.992.851;-275.896.541.567;39;39.000.000.000.000.000;11039;Centro (Colégio Catarinense)
39;;-485.552.762.253;-275.914.857.313;40;40.000.000.000.000.000;11040;Centro (Lado Norte - Av Rio Branco) II
40;;-485.576.764.988;-275.907.756.738;41;41.000.000.000.000.000;11041;Centro (Orla Beira Mar Norte) III
41;;-48.559.128.414;-275.913.727.054;42;42.000.000.000.000.000;11042;Centro (Orla Beira Mar Norte) IV
